Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Revenue,Profit,Year,Month,Month_Name,Quarter,Day,Day_Name
1049,5/27/2026,C517,Chair,Furniture,Lucknow,1,7711,869,2026,5,May,2,27,Wednesday
1050,8/7/2026,C269,Backpack,Apparel,Ahmedabad,2,3534,616,2026,8,August,3,7,Friday
1051,4/4/2026,C811,Desk,Furniture,Pune,7,68614,8278,2026,4,April,2,4,Saturday
1052,1/16/2026,C852,Chair,Furniture,Pune,3,39867,4377,2026,1,January,1,16,Friday
1053,7/20/2026,C468,Phone,Electronics,Jaipur,7,125951,10903,2026,7,July,3,20,Monday
1054,1/10/2026,C476,Camera,Electronics,Bangalore,5,532590,73570,2026,1,January,1,10,Saturday
1055,1/15/2026,C378,Shoes,Apparel,Mumbai,6,30432,6080,2026,1,January,1,15,Thursday
1056,6/24/2026,C652,Chair,Furniture,Delhi,6,17148,3817,2026,6,June,2,24,Wednesday
1057,2/5/2026,C711,Backpack,Apparel,Mumbai,5,22520,4529,2026,2,February,1,5,Thursday
1058,4/4/2026,C377,Tablet,Electronics,Bangalore,4,199112,34457,2026,4,April,2,4,Saturday
1059,7/20/2026,C824,Phone,Electronics,Kolkata,3,86283,18304,2026,7,July,3,20,Monday
1060,4/21/2026,C709,Shoes,Apparel,Jaipur,7,42336,7122,2026,4,April,2,21,Tuesday
1061,2/20/2026,C285,Chair,Furniture,Bangalore,4,44568,8826,2026,2,February,1,20,Friday
1062,6/2/2026,C025,Keyboard,Electronics,Pune,4,26424,2829,2026,6,June,2,2,Tuesday
1063,7/26/2026,C779,Smartwatch,Electronics,Kolkata,2,5322,1106,2026,7,July,3,26,Sunday
1064,6/18/2026,C169,Mouse,Electronics,Kolkata,2,7806,1286,2026,6,June,2,18,Thursday
1065,4/24/2026,C395,Desk,Furniture,Jaipur,7,125517,20539,2026,4,April,2,24,Friday
1066,4/15/2026,C096,Keyboard,Electronics,Lucknow,4,20748,4351,2026,4,April,2,15,Wednesday
1067,1/10/2026,C294,Desk,Furniture,Kolkata,1,9537,1788,2026,1,January,1,10,Saturday
1068,3/17/2026,C117,Smartwatch,Electronics,Lucknow,5,97550,7968,2026,3,March,1,17,Tuesday
1069,3/25/2026,C594,Monitor,Electronics,Pune,6,168894,18212,2026,3,March,1,25,Wednesday
1070,4/12/2026,C190,Backpack,Apparel,Lucknow,1,4430,745,2026,4,April,2,12,Sunday
1071,5/13/2026,C121,Mouse,Electronics,Jaipur,5,17900,2694,2026,5,May,2,13,Wednesday
1072,5/10/2026,C591,Monitor,Electronics,Jaipur,3,62061,6843,2026,5,May,2,10,Sunday
1073,8/5/2026,C465,Makeup Kit,Beauty,Bangalore,3,6168,1084,2026,8,August,3,5,Wednesday
1074,2/14/2026,C556,Mouse,Electronics,Chennai,1,2886,508,2026,2,February,1,14,Saturday
1075,1/18/2026,C509,Monitor,Electronics,Jaipur,4,97612,14936,2026,1,January,1,18,Sunday
1076,7/2/2026,C019,Laptop,Electronics,Kolkata,6,343068,60692,2026,7,July,3,2,Thursday
1077,1/12/2026,C805,Bookshelf,Furniture,Delhi,4,36720,8301,2026,1,January,1,12,Monday
1078,2/16/2026,C133,Makeup Kit,Beauty,Pune,7,16450,1726,2026,2,February,1,16,Monday
1079,6/15/2026,C743,Laptop,Electronics,Bangalore,7,558691,87111,2026,6,June,2,15,Monday
1080,7/12/2026,C516,Tablet,Electronics,Mumbai,3,35439,6928,2026,7,July,3,12,Sunday
1081,5/8/2026,C001,Desk,Furniture,Lucknow,4,36096,6953,2026,5,May,2,8,Friday
1082,7/25/2026,C638,Jeans,Apparel,Kolkata,2,7064,1165,2026,7,July,3,25,Saturday
1083,1/10/2026,C273,Sofa,Furniture,Delhi,3,170325,34822,2026,1,January,1,10,Saturday
1084,6/2/2026,C683,Printer,Electronics,Ahmedabad,7,56315,12755,2026,6,June,2,2,Tuesday
1085,8/2/2026,C100,Desk,Furniture,Lucknow,5,98190,23501,2026,8,August,3,2,Sunday
1086,3/30/2026,C818,Headphones,Electronics,Kolkata,6,23610,1922,2026,3,March,1,30,Monday
1087,3/29/2026,C491,Headphones,Electronics,Hyderabad,5,56655,7497,2026,3,March,1,29,Sunday
1088,7/29/2026,C448,Laptop,Electronics,Pune,4,350692,38050,2026,7,July,3,29,Wednesday
1089,6/27/2026,C882,Vacuum Cleaner,Home,Ahmedabad,5,36380,4303,2026,6,June,2,27,Saturday
1090,8/25/2026,C548,Shoes,Apparel,Kolkata,5,15480,2379,2026,8,August,3,25,Tuesday
1091,8/1/2026,C001,Bookshelf,Furniture,Chennai,1,12089,2595,2026,8,August,3,1,Saturday
1092,5/17/2026,C120,Makeup Kit,Beauty,Bangalore,1,5239,573,2026,5,May,2,17,Sunday
1093,3/30/2026,C722,Bookshelf,Furniture,Kolkata,5,63305,10072,2026,3,March,1,30,Monday
1094,4/20/2026,C285,Make Up Kit,Beauty,Lucknow,3,15399,3242,2026,4,April,2,20,Monday
1095,8/13/2026,C721,Desk,Furniture,Lucknow,6,141468,23692,2026,8,August,3,13,Thursday
1096,4/1/2026,C469,Tablet,Electronics,Bangalore,5,185085,19748,2026,4,April,2,1,Wednesday
1097,8/22/2026,C322,Phone,Electronics,Kolkata,6,341118,32946,2026,8,August,3,22,Saturday
1098,1/26/2026,C036,Laptop,Electronics,Jaipur,2,189458,45248,2026,1,January,1,26,Monday
1099,2/18/2026,C574,Smartwatch,Electronics,Mumbai,3,74280,15199,2026,2,February,1,18,Wednesday
1100,4/13/2026,C148,Vacuum Cleaner,Home,Chennai,6,109554,23032,2026,4,April,2,13,Monday
1101,1/22/2026,C595,Headphones,Unknown,Jaipur,2,4646,875,2026,1,January,1,22,Thursday
1102,6/24/2026,C822,Tablet,Electronics,Kolkata,6,134826,27431,2026,6,June,2,24,Wednesday
1103,6/16/2026,C594,Desk,Furniture,Jaipur,2,25802,4527,2026,6,June,2,16,Tuesday
1104,1/25/2026,C875,Headphones,Electronics,Hyderabad,7,15491,3218,2026,1,January,1,25,Sunday
1105,7/21/2026,C397,Laptop,Electronics,Delhi,7,376033,88072,2026,7,July,3,21,Tuesday
1106,4/13/2026,C559,Headphones,Electronics,Kolkata,4,9192,1524,2026,4,April,2,13,Monday
1107,2/1/2026,C075,Vacuum Cleaner,Home,Lucknow,1,12422,2014,2026,2,February,1,1,Sunday
1108,4/23/2026,C737,Mouse,Electronics,Mumbai,4,3800,708,2026,4,April,2,23,Thursday
1109,5/2/2026,C369,Keyboard,Electronics,Pune,6,14538,3380,2026,5,May,2,2,Saturday
1110,8/3/2026,C412,Headphones,Electronics,Lucknow,2,23984,3286,2026,8,August,3,3,Monday
1111,4/2/2026,C640,Laptop,Electronics,Chennai,4,326008,46466,2026,4,April,2,2,Thursday
1112,7/17/2026,C567,Vacuum Cleaner,Home,Mumbai,4,69040,13247,2026,7,July,3,17,Friday
1113,3/7/2026,Unknown,Keyboard,Electronics,Delhi,3,8817,1315,2026,3,March,1,7,Saturday
1114,5/9/2026,C490,Bookshelf,Furniture,Kolkata,4,67020,11022,2026,5,May,2,9,Saturday
1115,3/31/2026,C812,Makeup Kit,Beauty,Lucknow,3,14380,4540,2026,3,March,1,31,Tuesday
1116,7/14/2026,C533,Mouse,Electronics,Jaipur,7,20888,3742,2026,7,July,3,14,Tuesday
1117,1/12/2026,C734,Mouse,Electronics,Jaipur,4,17604,3859,2026,1,January,1,12,Monday
1118,6/24/2026,C821,Shoes,Apparel,Lucknow,6,58098,10622,2026,6,June,2,24,Wednesday
1119,7/8/2026,C175,Monitor,Electronics,Mumbai,7,142247,24377,2026,7,July,3,8,Wednesday
1120,1/22/2026,C124,Sofa,Furniture,Hyderabad,4,275796,39795,2026,1,January,1,22,Thursday
1121,4/18/2026,C480,Bookshelf,Furniture,Pune,2,32494,5082,2026,4,April,2,18,Saturday
1122,4/15/2026,C633,Printer,Electronics,Lucknow,7,40474,5586,2026,4,April,2,15,Wednesday
1123,5/7/2026,C343,Air Purifier,Home,Delhi,2,61068,8115,2026,5,May,2,7,Thursday
1124,8/20/2026,C665,Chair,Furniture,Kolkata,5,34715,4418,2026,8,August,3,20,Thursday
1125,2/25/2026,C096,Vacuum Cleaner,Home,Hyderabad,7,144865,24988,2026,2,February,1,25,Wednesday
1126,4/16/2026,C681,Bookshelf,Furniture,Pune,5,71910,9169,2026,4,April,2,16,Thursday
1127,8/19/2026,C159,Monitor,Electronics,Ahmedabad,3,117204,21450,2026,8,August,3,19,Wednesday
1128,1/8/2026,C013,Mouse,Electronics,Bangalore,7,21035,4779,2026,1,January,1,8,Thursday
1129,7/22/2026,C518,Jeans,Apparel,Jaipur,2,8260,1170,2026,7,July,3,22,Wednesday
1130,3/26/2026,C257,Chair,Furniture,Lucknow,5,70915,12969,2026,3,March,1,26,Thursday
1131,1/17/2026,C648,Monitor,Electronics,Bangalore,6,256182,55897,2026,1,January,1,17,Saturday
1132,4/25/2026,C568,Bookshelf,Furniture,Unknown,4,47532,6534,2026,4,April,2,25,Saturday
1133,8/2/2026,C190,Sofa,Furniture,Jaipur,2,123172,17910,2026,8,August,3,2,Sunday
1134,7/13/2026,C599,Phone,Electronics,Ahmedabad,6,234732,55587,2026,7,July,3,13,Monday
1135,8/7/2026,C367,Shoes,Apparel,Kolkata,6,44448,4569,2026,8,August,3,7,Friday
1136,1/4/2026,C448,Monitor,Electronics,Ahmedabad,7,64771,6196,2026,1,January,1,4,Sunday
1137,2/17/2026,C709,Camera,Electronics,Bangalore,4,231444,25915,2026,2,February,1,17,Tuesday
1138,6/30/2026,C017,Tablet,Electronics,Pune,4,85932,9515,2026,6,June,2,30,Tuesday
1139,7/23/2026,C301,Tablet,Electronics,Bangalore,6,300492,68725,2026,7,July,3,23,Thursday
1140,3/8/2026,C310,Air Purifier,Home,Hyderabad,3,58008,6765,2026,3,March,1,8,Sunday
1141,5/16/2026,C551,Jeans,Apparel,Jaipur,7,24976,2243,2026,5,May,2,16,Saturday
1142,2/11/2026,C321,Bookshelf,Furniture,Mumbai,2,25092,4601,2026,2,February,1,11,Wednesday
1143,7/5/2026,C095,Laptop,Electronics,Jaipur,4,196120,29472,2026,7,July,3,5,Sunday
1144,2/23/2026,C694,Laptop,Electronics,Delhi,3,279036,38185,2026,2,February,1,23,Monday
1145,3/8/2026,C656,Air Purifier,Home,Chennai,1,28551,4159,2026,3,March,1,8,Sunday
1146,6/22/2026,C197,Monitor,Electronics,Pune,1,40868,7845,2026,6,June,2,22,Monday
1147,3/27/2026,C752,Makeup Kit,Beauty,Delhi,4,17936,2938,2026,3,March,1,27,Friday
1148,1/25/2026,C160,Headphones,Electronics,Hyderabad,4,31220,3916,2026,1,January,1,25,Sunday
1149,4/18/2026,C794,Bookshelf,Furniture,Lucknow,1,14374,2926,2026,4,April,2,18,Saturday
1150,7/14/2026,C675,Camera,Electronics,Hyderabad,5,440920,102991,2026,7,July,3,14,Tuesday
1151,5/29/2026,C565,Desk,Furniture,Pune,3,23529,4176,2026,5,May,2,29,Friday
1152,1/14/2026,C373,Makeup Kit,Beauty,Ahmedabad,4,13628,1271,2026,1,January,1,14,Wednesday
1153,8/5/2026,C171,Vacuum Cleaner,Home,Pune,7,125153,17551,2026,8,August,3,5,Wednesday
1154,4/23/2026,C169,Laptop,Electronics,Bangalore,1,84062,12412,2026,4,April,2,23,Thursday
1155,7/19/2026,C536,Sofa,Furniture,Chennai,1,67999,6436,2026,7,July,3,19,Sunday
1156,1/3/2026,C044,Shoes,Apparel,Delhi,1,2868,468,2026,1,January,1,3,Saturday
1157,7/20/2026,C719,Tablet,Electronics,Kolkata,1,50043,4593,2026,7,July,3,20,Monday
1158,7/7/2026,C791,Mouse,Electronics,Pune,7,31255,2835,2026,7,July,3,7,Tuesday
1159,6/2/2026,C126,Makeup Kit,Beauty,Bangalore,1,6507,898,2026,6,June,2,2,Tuesday
1160,2/28/2026,C075,Air Purifier,Home,Hyderabad,1,12390,1288,2026,2,February,1,28,Saturday
1161,3/10/2026,C734,Printer,Electronics,Bangalore,4,118852,12225,2026,3,March,1,10,Tuesday
1162,1/3/2026,C429,Printer,Electronics,Chennai,6,32202,4345,2026,1,January,1,3,Saturday
1163,1/17/2026,C823,Air Purifier,Home,Kolkata,6,79662,9923,2026,1,January,1,17,Saturday
1164,4/13/2026,C326,Tablet,Electronics,Hyderabad,3,36174,6572,2026,4,April,2,13,Monday
1165,5/15/2026,C509,Bookshelf,Furniture,Hyderabad,1,7443,966,2026,5,May,2,15,Friday
1166,7/27/2026,C878,Phone,Electronics,Delhi,1,16896,2910,2026,7,July,3,27,Monday
1167,1/5/2026,C837,HEADPHONES,Electronics,Jaipur,6,48084,8470,2026,1,January,1,5,Monday
1168,6/28/2026,C115,Printer,Electronics,Bangalore,1,23870,3265,2026,6,June,2,28,Sunday
1169,7/29/2026,C752,Vacuum Cleaner,Home,Chennai,1,20513,4168,2026,7,July,3,29,Wednesday
1170,1/12/2026,C237,Printer,Electronics,Jaipur,1,17256,1828,2026,1,January,1,12,Monday
1171,8/22/2026,C576,Printer,Electronics,Kolkata,2,46304,8372,2026,8,August,3,22,Saturday
1172,7/27/2026,C142,Printer,Electronics,Hyderabad,2,39626,4390,2026,7,July,3,27,Monday
1173,3/18/2026,C030,Phone,Electronics,Delhi,1,21734,3345,2026,3,March,1,18,Wednesday
1174,2/11/2026,C132,Phone,Electronics,Jaipur,1,69097,12954,2026,2,February,1,11,Wednesday
1175,1/25/2026,C518,Vacuum Cleaner,Home,Kolkata,5,28395,6617,2026,1,January,1,25,Sunday
1176,1/24/2026,C039,Laptop,Electronics,Delhi,5,420925,46616,2026,1,January,1,24,Saturday
1177,5/17/2026,C146,Laptop,Electronics,Pune,3,145224,22578,2026,5,May,2,17,Sunday
1178,2/5/2026,C307,Sofa,Furniture,Mumbai,2,102102,19202,2026,2,February,1,5,Thursday
1179,8/20/2026,C103,Phone,Electronics,Hyderabad,4,84376,9620,2026,8,August,3,20,Thursday
1180,1/13/2026,C618,Tablet,Electronics,Bangalore,3,159867,17004,2026,1,January,1,13,Tuesday
1181,4/13/2026,C503,Camera,Electronics,Hyderabad,7,236390,47196,2026,4,April,2,13,Monday
1182,6/6/2026,C569,Chair,Furniture,Ahmedabad,7,86373,19272,2026,6,June,2,6,Saturday
1183,7/25/2026,C187,Jeans,Apparel,Hyderabad,3,14121,3157,2026,7,July,3,25,Saturday
1184,2/15/2026,C829,Printer,Electronics,Delhi,1,14568,1913,2026,2,February,1,15,Sunday
1185,6/11/2026,C145,Camera,Electronics,Hyderabad,1,65614,14310,2026,6,June,2,11,Thursday
1186,7/25/2026,C225,Vacuum Cleaner,Home,Bangalore,19,29896,6130,2026,7,July,3,25,Saturday
1187,4/4/2026,C038,Air Purifier,Home,Chennai,5,52420,10037,2026,4,April,2,4,Saturday
1188,8/8/2026,C716,Phone,Electronics,Chennai,1,13287,1560,2026,8,August,3,8,Saturday
1189,2/4/2026,C209,Camera,Electronics,Ahmedabad,2,151192,13757,2026,2,February,1,4,Wednesday
1190,3/8/2026,C089,Jeans,Apparel,Jaipur,4,12604,2199,2026,3,March,1,8,Sunday
1191,5/13/2026,C881,smart watch,Electronics,Pune,6,179682,36466,2026,5,May,2,13,Wednesday
1192,5/11/2026,C549,Smartwatch,Electronics,Kolkata,4,22100,2411,2026,5,May,2,11,Monday
1193,6/5/2026,C145,Laptop,Electronics,Lucknow,1,75972,6502,2026,6,June,2,5,Friday
1194,5/8/2026,C091,Makeup Kit,Beauty,Chennai,4,19616,3546,2026,5,May,2,8,Friday
1195,6/12/2026,C031,Camera,Electronics,Bangalore,5,524065,77608,2026,6,June,2,12,Friday
1196,3/19/2026,C782,Smartwatch,Electronics,Delhi,1,14900,2782,2026,3,March,1,19,Thursday
1197,1/23/2026,C693,Headphones,Electronics,Ahmedabad,5,50055,11172,2026,1,January,1,23,Friday
1198,1/19/2026,C292,Air Purifier,Home,Jaipur,5,82905,9306,2026,1,January,1,19,Monday
1199,8/1/2026,C854,Chair,Furniture,Delhi,6,28880,12937,2026,8,August,3,1,Saturday
1200,3/2/2026,C248,Sofa,Furniture,Mumbai,2,79082,9998,2026,3,March,1,2,Monday
1201,7/30/2026,C889,Headphones,Electronics,Delhi,1,2727,405,2026,7,July,3,30,Thursday
1202,7/10/2026,C517,Sofa,Furniture,Delhi,2,78666,15528,2026,7,July,3,10,Friday
1203,3/24/2026,C808,Air Purifier,Home,Ahmedabad,2,68168,6231,2026,3,March,1,24,Tuesday
1204,5/15/2026,C710,Bookshelf,Furniture,Kolkata,4,60164,6929,2026,5,May,2,15,Friday
1205,3/6/2026,C453,Air Purifier,Home,Bangalore,3,89457,8216,2026,3,March,1,6,Friday
1206,1/16/2026,C088,Makeup Kit,Beauty,Mumbai,1,5114,1145,2026,1,January,1,16,Friday
1207,6/30/2026,C406,Laptop,Electronics,Jaipur,5,328000,54560,2026,6,June,2,30,Tuesday
1208,7/7/2026,C782,Desk,Furniture,Jaipur,6,46140,10097,2026,7,July,3,7,Tuesday
1209,7/22/2026,C665,Bookshelf,Furniture,Hyderabad,4,56064,9433,2026,7,July,3,22,Wednesday
1210,2/7/2026,C212,Backpack,Apparel,Mumbai,2,5904,1337,2026,2,February,1,7,Saturday
1211,1/5/2026,C193,Desk,Furniture,Delhi,6,58824,6833,2026,1,January,1,5,Monday
1212,6/11/2026,C433,Laptop,Electronics,Hyderabad,2,102014,16282,2026,6,June,2,11,Thursday
1213,6/4/2026,C547,Jeans,Apparel,Delhi,1,5268,1107,2026,6,June,2,4,Thursday
1214,3/2/2026,CUSTOMER-692,Backpack,Apparel,Hyderabad,4,10924,1282,2026,3,March,1,2,Monday
1215,1/16/2026,C220,Shoes,Apparel,Lucknow,6,31566,3606,2026,1,January,1,16,Friday
1216,7/10/2026,C669,Headphones,Electronics,Mumbai,6,10050,2278,2026,7,July,3,10,Friday
1217,4/5/2026,C186,Bookshelf,Furniture,Pune,5,29570,5584,2026,4,April,2,5,Sunday
1218,2/1/2026,C762,Smart Watch,Electronics,Lucknow,2,19654,2443,2026,2,February,1,1,Sunday
1219,3/9/2026,C360,Smart Watch,Electronics,Mumbai,4,113284,20263,2026,3,March,1,9,Monday
1220,8/24/2026,C840,Air Purifier,Home,Mumbai,7,223293,50736,2026,8,August,3,24,Monday
1221,8/3/2026,C466,Printer,Electronics,Hyderabad,5,78030,9771,2026,8,August,3,3,Monday
1222,6/8/2026,C031,Phone,Electronics,Chennai,4,192568,32827,2026,6,June,2,8,Monday
1223,1/18/2026,Unknown,Laptop,Electronics,Hyderabad,2,167246,21931,2026,1,January,1,18,Sunday
1224,8/4/2026,C390,Smartwatch,Electronics,Jaipur,2,37038,4761,2026,8,August,3,4,Tuesday
1225,2/28/2026,C521,Tablet,Electronics,Lucknow,5,108384,18038,2026,2,February,1,28,Saturday
1226,7/19/2026,C798,vacuum cleaner,Home,Bangalore,4,22108,2895,2026,7,July,3,19,Sunday
1227,2/21/2026,C364,Vacuum Cleaner,Home,Kolkata,2,20718,3193,2026,2,February,1,21,Saturday
1228,6/1/2026,C530,Makeup Kit,Beauty,Kolkata,7,30114,4275,2026,6,June,2,1,Monday
1229,3/30/2026,C030,Makeup Kit,Beauty,Lucknow,4,12040,2564,2026,3,March,1,30,Monday
1230,2/6/2026,C505,Headphones,Electronics,Ahmedabad,7,39823,3345,2026,2,February,1,6,Friday
1231,7/28/2026,C084,Sofa,Furniture,Pune,1,21024,3249,2026,7,July,3,28,Tuesday
1232,8/5/2026,C828,Smartwatch,Electronics,Ahmedabad,7,74382,9725,2026,8,August,3,5,Wednesday
1233,7/21/2026,C183,Smartwatch,Electronics,Jaipur,5,53060,23971,2026,7,July,3,21,Tuesday
1234,2/22/2026,C635,Headphones,Electronics,Bangalore,3,17478,3754,2026,2,February,1,22,Sunday
1235,2/26/2026,C522,Air Purifier,Home,Mumbai,5,97145,15182,2026,2,February,1,26,Thursday
1236,5/26/2026,C760,Laptop,Electronics,Bangalore,2,178312,15245,2026,5,May,2,26,Tuesday
1237,3/4/2026,C553,Air Purifier,Home,Hyderabad,4,54328,7865,2026,3,March,1,4,Wednesday
1238,6/16/2026,C770,Jeans,Apparel,Lucknow,6,20658,4034,2026,6,June,2,16,Tuesday
1239,6/6/2026,C119,Printer,Electronics,Chennai,5,63195,7803,2026,6,June,2,6,Saturday
1240,3/1/2026,C261,Desk,Furniture,Delhi,3,48090,6509,2026,3,March,1,1,Sunday
1241,8/21/2026,C417,Chair,Furniture,Lucknow,1,6714,1563,2026,8,August,3,21,Friday
1242,7/5/2026,C248,Camera,Electronics,Lucknow,2,94720,10874,2026,7,July,3,5,Sunday
1243,5/25/2026,C805,Desk,Furniture,Ahmedabad,4,38648,6076,2026,5,May,2,25,Monday
1244,1/7/2026,C317,Air Purifier,Home,Hyderabad,1,26955,3687,2026,1,January,1,7,Wednesday
1245,5/17/2026,C826,Headphones,Electronics,Delhi,2,17410,1503,2026,5,May,2,17,Sunday
1246,3/16/2026,C268,Smartwatch,Electronics,Bangalore,5,36815,4592,2026,3,March,1,16,Monday
1247,6/14/2026,C041,Headphones,Electronics,Delhi,5,49560,7614,2026,6,June,2,14,Sunday
1248,4/11/2026,C540,Backpack,Apparel,Ahmedabad,3,6975,1407,2026,4,April,2,11,Saturday
1249,1/18/2026,C466,Keyboard,Electronics,Chennai,6,31428,6482,2026,1,January,1,18,Sunday
1250,6/9/2026,C292,Backpack,Apparel,Mumbai,1,4928,1044,2026,6,June,2,9,Tuesday
1251,1/29/2026,C606,Phone,Electronics,Chennai,5,333855,67968,2026,1,January,1,29,Thursday
1252,2/5/2026,C042,Headphones,Electronics,Mumbai,3,26490,2210,2026,2,February,1,5,Thursday
1253,3/9/2026,C182,Smartwatch,Electronics,Hyderabad,4,91448,11642,2026,3,March,1,9,Monday
1254,6/6/2026,C038,Makeup Kit,Beauty,Hyderabad,4,23948,1995,2026,6,June,2,6,Saturday
1255,4/30/2026,C853,Chair,Furniture,Pune,1,5834,1185,2026,4,April,2,30,Thursday
1256,2/28/2026,C103,Laptop,Electronics,Ahmedabad,4,218460,51536,2026,2,February,1,28,Saturday
1257,1/9/2026,C891,Chair,Furniture,Ahmedabad,5,66690,12032,2026,1,January,1,9,Friday
1258,7/5/2026,C327,Laptop,Electronics,Chennai,4,181852,26760,2026,7,July,3,5,Sunday
1259,2/18/2026,C069,Keyboard,Electronics,Ahmedabad,5,26710,5401,2026,2,February,1,18,Wednesday
1260,6/2/2026,C186,Smartwatch,Electronics,Jaipur,3,47205,9860,2026,6,June,2,2,Tuesday
